Sensorgram_X	Sensorgram_Y	Sensorgram_X	Sensorgram_Y	Sensorgram_X	Sensorgram_Y	Sensorgram_X	Sensorgram_Y	Sensorgram_X	Sensorgram_Y
1	1000	1	1000	1	1000	1	1000	1	1000
2	1000	2	1000	2	1000	2	1000	2	1000
3	1000	3	1000	3	1000	3	1000	3	1000
4	1000	4	1000	4	1000	4	1000	4	1000
5	1000	5	1000	5	1000	5	1000	5	1000
6	1000	6	1000	6	1000	6	1000	6	1000
7	1000	7	1000	7	1000	7	1000	7	1000
8	1000	8	1000	8	1000	8	1000	8	1000
9	1000	9	1000	9	1000	9	1000	9	1000
10	1000	10	1000	10	1000	10	1000	10	1000
11	1000	11	1000	11	1000	11	1000	11	1000
12	1000	12	1000	12	1000	12	1000	12	1000
13	1000	13	1000	13	1000	13	1000	13	1000
14	1000	14	1000	14	1000	14	1000	14	1000
15	1000	15	1000	15	1000	15	1000	15	1000
16	1000	16	1000	16	1000	16	1000	16	1000
17	1000	17	1000	17	1000	17	1000	17	1000
18	1000	18	1000	18	1000	18	1000	18	1000
19	1000	19	1000	19	1000	19	1000	19	1000
20	1000	20	1000	20	1000	20	1000	20	1000
21	1000	21	1000	21	1000	21	1000	21	1000
22	1000	22	1000	22	1000	22	1000	22	1000
23	1000	23	1000	23	1000	23	1000	23	1000
24	1000	24	1000	24	1000	24	1000	24	1000
25	1000	25	1000	25	1000	25	1000	25	1000
26	1000	26	1000	26	1000	26	1000	26	1000
27	1000	27	1000	27	1000	27	1000	27	1000
28	1000	28	1000	28	1000	28	1000	28	1000
29	1000	29	1000	29	1000	29	1000	29	1000
30	1000	30	1000	30	1000	30	1000	30	1000
31	1000	31	1000	31	1000	31	1000	31	1000
32	1000	32	1000	32	1000	32	1000	32	1000
33	1000	33	1000	33	1000	33	1000	33	1000
34	1000	34	1000	34	1000	34	1000	34	1000
35	1000	35	1000	35	1000	35	1000	35	1000
36	1000	36	1000	36	1000	36	1000	36	1000
37	1000	37	1000	37	1000	37	1000	37	1000
38	1000	38	1000	38	1000	38	1000	38	1000
39	1000	39	1000	39	1000	39	1000	39	1000
40	1000	40	1000	40	1000	40	1000	40	1000
41	1000	41	1000	41	1000	41	1000	41	1000
42	1000	42	1000	42	1000	42	1000	42	1000
43	1000	43	1000	43	1000	43	1000	43	1000
44	1000	44	1000	44	1000	44	1000	44	1000
45	1000	45	1000	45	1000	45	1000	45	1000
46	1000	46	1000	46	1000	46	1000	46	1000
47	1000	47	1000	47	1000	47	1000	47	1000
48	1000	48	1000	48	1000	48	1000	48	1000
49	1000	49	1000	49	1000	49	1000	49	1000
50	1000	50	1000	50	1000	50	1000	50	1000
51	1000	51	1000	51	1000	51	1000	51	1000
52	1000	52	1000	52	1000	52	1000	52	1000
53	1000	53	1000	53	1000	53	1000	53	1000
54	1000	54	1000	54	1000	54	1000	54	1000
55	1000	55	1000	55	1000	55	1000	55	1000
56	1000	56	1000	56	1000	56	1000	56	1000
57	1000	57	1000	57	1000	57	1000	57	1000
58	1000	58	1000	58	1000	58	1000	58	1000
59	1000	59	1000	59	1000	59	1000	59	1000
60	1000	60	1000	60	1000	60	1000	60	1000
61	1000.1	61	1000.2	61	1000.39	61	1000.78	61	1001.53
62	1000.2	62	1000.39	62	1000.78	62	1001.52	62	1002.93
63	1000.29	63	1000.58	63	1001.15	63	1002.23	63	1004.21
64	1000.39	64	1000.77	64	1001.51	64	1002.9	64	1005.37
65	1000.48	65	1000.95	65	1001.86	65	1003.54	65	1006.44
66	1000.57	66	1001.13	66	1002.2	66	1004.15	66	1007.42
67	1000.66	67	1001.31	67	1002.53	67	1004.72	67	1008.31
68	1000.75	68	1001.48	68	1002.84	68	1005.27	68	1009.12
69	1000.84	69	1001.65	69	1003.15	69	1005.8	69	1009.87
70	1000.93	70	1001.81	70	1003.46	70	1006.3	70	1010.55
71	1001.01	71	1001.97	71	1003.75	71	1006.77	71	1011.17
72	1001.1	72	1002.13	72	1004.03	72	1007.22	72	1011.74
73	1001.18	73	1002.29	73	1004.31	73	1007.65	73	1012.26
74	1001.26	74	1002.44	74	1004.57	74	1008.05	74	1012.74
75	1001.34	75	1002.59	75	1004.83	75	1008.44	75	1013.17
76	1001.42	76	1002.74	76	1005.08	76	1008.81	76	1013.57
77	1001.5	77	1002.88	77	1005.33	77	1009.16	77	1013.93
78	1001.58	78	1003.02	78	1005.56	78	1009.49	78	1014.26
79	1001.65	79	1003.16	79	1005.79	79	1009.81	79	1014.56
80	1001.73	80	1003.3	80	1006.02	80	1010.11	80	1014.84
81	1001.8	81	1003.43	81	1006.23	81	1010.4	81	1015.09
82	1001.87	82	1003.56	82	1006.44	82	1010.67	82	1015.32
83	1001.95	83	1003.69	83	1006.65	83	1010.93	83	1015.53
84	1002.02	84	1003.81	84	1006.84	84	1011.18	84	1015.73
85	1002.08	85	1003.93	85	1007.04	85	1011.42	85	1015.9
86	1002.15	86	1004.05	86	1007.22	86	1011.64	86	1016.07
87	1002.22	87	1004.17	87	1007.4	87	1011.85	87	1016.21
88	1002.29	88	1004.29	88	1007.58	88	1012.05	88	1016.35
89	1002.35	89	1004.4	89	1007.75	89	1012.25	89	1016.47
90	1002.42	90	1004.51	90	1007.91	90	1012.43	90	1016.58
91	1002.48	91	1004.62	91	1008.07	91	1012.6	91	1016.69
92	1002.54	92	1004.73	92	1008.23	92	1012.77	92	1016.78
93	1002.6	93	1004.83	93	1008.38	93	1012.93	93	1016.87
94	1002.66	94	1004.93	94	1008.53	94	1013.08	94	1016.94
95	1002.72	95	1005.03	95	1008.67	95	1013.22	95	1017.02
96	1002.78	96	1005.13	96	1008.81	96	1013.36	96	1017.08
97	1002.84	97	1005.23	97	1008.94	97	1013.48	97	1017.14
98	1002.9	98	1005.32	98	1009.07	98	1013.61	98	1017.2
99	1002.95	99	1005.42	99	1009.2	99	1013.72	99	1017.25
100	1003.01	100	1005.51	100	1009.32	100	1013.83	100	1017.29
101	1003.06	101	1005.6	101	1009.44	101	1013.94	101	1017.33
102	1003.12	102	1005.68	102	1009.55	102	1014.04	102	1017.37
103	1003.17	103	1005.77	103	1009.66	103	1014.14	103	1017.41
104	1003.22	104	1005.85	104	1009.77	104	1014.23	104	1017.44
105	1003.27	105	1005.93	105	1009.88	105	1014.31	105	1017.47
106	1003.32	106	1006.01	106	1009.98	106	1014.4	106	1017.49
107	1003.37	107	1006.09	107	1010.08	107	1014.47	107	1017.52
108	1003.42	108	1006.17	108	1010.17	108	1014.55	108	1017.54
109	1003.47	109	1006.25	109	1010.27	109	1014.62	109	1017.56
110	1003.52	110	1006.32	110	1010.36	110	1014.69	110	1017.58
111	1003.56	111	1006.39	111	1010.45	111	1014.75	111	1017.6
112	1003.61	112	1006.47	112	1010.53	112	1014.81	112	1017.61
113	1003.66	113	1006.54	113	1010.61	113	1014.87	113	1017.63
114	1003.7	114	1006.6	114	1010.69	114	1014.92	114	1017.64
115	1003.75	115	1006.67	115	1010.77	115	1014.98	115	1017.65
116	1003.79	116	1006.74	116	1010.85	116	1015.03	116	1017.66
117	1003.83	117	1006.8	117	1010.92	117	1015.07	117	1017.67
118	1003.87	118	1006.87	118	1010.99	118	1015.12	118	1017.68
119	1003.92	119	1006.93	119	1011.06	119	1015.16	119	1017.69
120	1003.96	120	1006.99	120	1011.13	120	1015.2	120	1017.7
121	1003.96	121	1006.99	121	1011.13	121	1015.2	121	1017.7
122	1003.92	122	1006.92	122	1011.02	122	1015.05	122	1017.52
123	1003.88	123	1006.85	123	1010.91	123	1014.9	123	1017.35
124	1003.84	124	1006.78	124	1010.8	124	1014.75	124	1017.17
125	1003.8	125	1006.71	125	1010.69	125	1014.61	125	1017
126	1003.76	126	1006.65	126	1010.59	126	1014.46	126	1016.83
127	1003.73	127	1006.58	127	1010.48	127	1014.32	127	1016.67
128	1003.69	128	1006.52	128	1010.38	128	1014.18	128	1016.5
129	1003.65	129	1006.45	129	1010.27	129	1014.03	129	1016.34
130	1003.62	130	1006.39	130	1010.17	130	1013.89	130	1016.17
131	1003.58	131	1006.32	131	1010.07	131	1013.76	131	1016.01
132	1003.54	132	1006.26	132	1009.97	132	1013.62	132	1015.85
133	1003.51	133	1006.2	133	1009.87	133	1013.48	133	1015.7
134	1003.47	134	1006.14	134	1009.77	134	1013.35	134	1015.54
135	1003.44	135	1006.08	135	1009.68	135	1013.22	135	1015.39
136	1003.41	136	1006.01	136	1009.58	136	1013.09	136	1015.23
137	1003.37	137	1005.95	137	1009.48	137	1012.96	137	1015.08
138	1003.34	138	1005.9	138	1009.39	138	1012.83	138	1014.93
139	1003.3	139	1005.84	139	1009.3	139	1012.7	139	1014.78
140	1003.27	140	1005.78	140	1009.2	140	1012.57	140	1014.64
141	1003.24	141	1005.72	141	1009.11	141	1012.45	141	1014.49
142	1003.21	142	1005.66	142	1009.02	142	1012.32	142	1014.35
143	1003.17	143	1005.61	143	1008.93	143	1012.2	143	1014.2
144	1003.14	144	1005.55	144	1008.84	144	1012.08	144	1014.06
145	1003.11	145	1005.5	145	1008.75	145	1011.96	145	1013.92
146	1003.08	146	1005.44	146	1008.67	146	1011.84	146	1013.78
147	1003.05	147	1005.39	147	1008.58	147	1011.72	147	1013.65
148	1003.02	148	1005.33	148	1008.5	148	1011.61	148	1013.51
149	1002.99	149	1005.28	149	1008.41	149	1011.49	149	1013.38
150	1002.96	150	1005.23	150	1008.33	150	1011.38	150	1013.24
151	1002.93	151	1005.18	151	1008.24	151	1011.26	151	1013.11
152	1002.9	152	1005.13	152	1008.16	152	1011.15	152	1012.98
153	1002.87	153	1005.07	153	1008.08	153	1011.04	153	1012.85
154	1002.84	154	1005.02	154	1008	154	1010.93	154	1012.72
155	1002.82	155	1004.97	155	1007.92	155	1010.82	155	1012.6
156	1002.79	156	1004.92	156	1007.84	156	1010.71	156	1012.47
157	1002.76	157	1004.88	157	1007.76	157	1010.61	157	1012.35
158	1002.73	158	1004.83	158	1007.69	158	1010.5	158	1012.22
159	1002.71	159	1004.78	159	1007.61	159	1010.4	159	1012.1
160	1002.68	160	1004.73	160	1007.54	160	1010.29	160	1011.98
161	1002.65	161	1004.68	161	1007.46	161	1010.19	161	1011.86
162	1002.63	162	1004.64	162	1007.39	162	1010.09	162	1011.74
163	1002.6	163	1004.59	163	1007.31	163	1009.99	163	1011.63
164	1002.57	164	1004.55	164	1007.24	164	1009.89	164	1011.51
165	1002.55	165	1004.5	165	1007.17	165	1009.79	165	1011.4
166	1002.52	166	1004.46	166	1007.1	166	1009.69	166	1011.28
167	1002.5	167	1004.41	167	1007.03	167	1009.6	167	1011.17
168	1002.47	168	1004.37	168	1006.96	168	1009.5	168	1011.06
169	1002.45	169	1004.32	169	1006.89	169	1009.41	169	1010.95
170	1002.42	170	1004.28	170	1006.82	170	1009.31	170	1010.84
171	1002.4	171	1004.24	171	1006.75	171	1009.22	171	1010.73
172	1002.38	172	1004.2	172	1006.68	172	1009.13	172	1010.63
173	1002.35	173	1004.15	173	1006.62	173	1009.04	173	1010.52
174	1002.33	174	1004.11	174	1006.55	174	1008.95	174	1010.42
175	1002.31	175	1004.07	175	1006.49	175	1008.86	175	1010.31
176	1002.28	176	1004.03	176	1006.42	176	1008.77	176	1010.21
177	1002.26	177	1003.99	177	1006.36	177	1008.68	177	1010.11
178	1002.24	178	1003.95	178	1006.29	178	1008.6	178	1010.01
179	1002.22	179	1003.91	179	1006.23	179	1008.51	179	1009.91
180	1002.19	180	1003.87	180	1006.17	180	1008.43	180	1009.81
181	1002.17	181	1003.84	181	1006.11	181	1008.34	181	1009.71

